Date,Price,Open,High,Low,Vol.,Change %
06/01/2020,5.0598,5.0556,5.0712,5.0466,33.16K,0.13%
06/02/2020,5.0683,5.0633,5.0764,5.0575,39.89K,0.17%
06/03/2020,5.0858,5.0708,5.1054,5.0670,42.98K,0.35%
06/04/2020,5.0822,5.0904,5.0986,5.0751,37.41K,-0.07%
06/05/2020,5.0788,5.0851,5.1028,5.0799,38.79K,-0.07%
06/08/2020,5.0915,5.0820,5.0967,5.0745,36.30K,0.25%
06/09/2020,5.0936,5.0951,5.1013,5.0827,43.49K,0.04%
06/10/2020,5.1022,5.0929,5.1155,5.0881,44.40K,0.17%
06/11/2020,5.0700,5.1046,5.1111,5.0663,49.23K,-0.63%
06/12/2020,5.0836,5.0731,5.0968,5.0615,43.51K,0.27%
06/15/2020,5.0950,5.0852,5.1006,5.0740,48.92K,0.22%
06/16/2020,5.0788,5.0960,5.1080,5.0748,47.59K,-0.32%
06/17/2020,5.0832,5.0805,5.0942,5.0756,54.76K,0.09%
06/18/2020,5.0824,5.0856,5.0922,5.0770,47.02K,-0.02%
06/19/2020,5.0577,5.0852,5.0887,5.0580,36.31K,-0.49%
06/22/2020,5.0749,5.0637,5.0789,5.0536,31.69K,0.34%
06/23/2020,5.0722,5.0759,5.0856,5.0601,33.34K,-0.05%
06/24/2020,5.0786,5.0742,5.0981,5.0720,40.16K,0.13%
06/25/2020,5.0855,5.0798,5.0895,5.0761,32.48K,0.14%
06/26/2020,5.0768,5.0878,5.0913,5.0736,31.00K,-0.17%
06/29/2020,5.0792,5.0829,5.0868,5.0749,29.88K,0.05%
06/30/2020,5.0682,5.0807,5.0842,5.0592,31.11K,-0.22%
07/01/2020,5.0727,5.0700,5.0766,5.0591,23.25K,0.09%
07/02/2020,5.0645,5.0737,5.0776,5.0623,28.30K,-0.16%
07/03/2020,5.0631,5.0666,5.0714,5.0602,23.40K,-0.03%
07/06/2020,5.0391,5.0661,5.0740,5.0377,18.91K,-0.47%
07/07/2020,5.0256,5.0413,5.0491,5.0258,28.27K,-0.27%
07/08/2020,5.0342,5.0285,5.0355,5.0223,36.32K,0.17%
07/09/2020,5.0221,5.0351,5.0385,5.0149,44.01K,-0.24%
07/10/2020,5.0305,5.0222,5.0370,5.0164,30.75K,0.17%
07/13/2020,5.0301,5.0335,5.0462,5.0306,31.29K,-0.01%
07/14/2020,5.0320,5.0323,5.0405,5.0244,33.67K,0.04%
07/15/2020,5.0288,5.0339,5.0437,5.0258,30.44K,-0.06%
07/16/2020,5.0173,5.0306,5.0335,5.0162,30.54K,-0.23%
07/17/2020,5.0271,5.0198,5.0373,5.0180,33.17K,0.20%
07/20/2020,5.0266,5.0285,5.0355,5.0220,32.97K,-0.01%
